setpoint,speed,throttle
1,297.307405379,-1.48543635201
1,296.717609979,-1.48247101289
1,295.931287939,-1.47823194336
1,295.34169498,-1.47560849051
1,294.752432314,-1.47264613354
1,293.966922562,-1.46836910763
1,293.377260341,-1.46575233689
1,292.788240017,-1.46284228013
1,292.003252441,-1.45850667204
1,291.414432057,-1.45597361335
1,290.826129294,-1.45303306916
1,290.042093348,-1.44879011188
1,289.454146182,-1.44615719435
1,288.866565559,-1.44321998545
1,288.083103485,-1.4389316874
1,287.495872525,-1.43636718252
1,286.908399977,-1.43344596758
1,286.125049983,-1.42914163216
1,285.733545156,-1.42772660924
1,284.950801879,-1.42357517838
1,284.168377322,-1.41936002158
1,283.581774043,-1.4167978789
1,282.99545773,-1.41388341739
1,282.213910495,-1.40958934904
1,281.628009142,-1.40704694474
1,281.042294814,-1.40408510135
1,280.261602634,-1.40014627038
1,279.48154375,-1.39593033416
1,278.8966878,-1.39337575702
1,278.312076866,-1.3904531664
1,277.532713019,-1.38620952616
1,276.948555105,-1.38363641559
1,276.364525075,-1.38071650764
1,275.586367806,-1.37675991465
1,274.808454774,-1.37256895871
1,274.225252246,-1.37002171073
1,273.6424269,-1.36683754573
1,273.05979013,-1.36419547166
1,272.477292812,-1.36128324918
1,271.70112219,-1.35717655083
1,271.119265506,-1.35449432598
1,270.537539765,-1.35126190375
1,269.956052728,-1.34866201622
1,269.374827157,-1.34577332952
1,268.600259904,-1.34153431575
1,268.019427762,-1.33901349919
1,267.438908692,-1.33609507527
1,266.858575977,-1.33287049243
1,266.278352513,-1.33027594919
1,265.698349589,-1.3273932573
1,264.925462382,-1.32318536141
1,264.346068415,-1.32063300476
1,263.766792853,-1.31773685121
1,262.994744419,-1.31351150881
1,262.416119726,-1.31100107354
1,261.837515218,-1.30807487609
1,261.066381652,-1.30418438633
1,260.295498747,-1.30001749317
1,259.717423185,-1.29750861533
1,259.139563763,-1.29458655168
1,258.369324359,-1.2904096061
1,257.791745853,-1.28786483032
1,257.214494134,-1.2849955071
1,256.444937037,-1.28076719561
1,255.868007657,-1.27826367609
1,255.291082093,-1.2753459392
1,254.522244614,-1.27145333453
1,253.753586865,-1.26735496215
1,253.17721502,-1.26485683868
1,252.409177412,-1.26087509827
1,251.641297646,-1.25677387485
1,251.065514623,-1.25423707471
1,250.489933371,-1.25135955059
1,249.722549879,-1.24718106699
1,249.147257644,-1.24462995392
1,248.572105033,-1.24183346945
1,247.805501027,-1.23757560327
1,247.422294214,-1.23620768096
1,246.655853931,-1.23182767787
1,246.08128611,-1.22933447426
1,245.506859782,-1.22647836937
1,244.741221376,-1.22229868496
1,244.167117002,-1.21982483589
1,243.401766108,-1.21555930199
1,242.82795238,-1.21305299322
1,242.25423889,-1.21018461562
1,241.489504921,-1.20629581936
1,240.916105563,-1.20317513392
1,240.342835364,-1.2006117351
1,239.578674183,-1.196742525
1,238.814739859,-1.19262685365
1,238.432857273,-1.19122830181
1,237.669260349,-1.18718228229
1,236.905886486,-1.18308364827
1,236.333501472,-1.18058344458
1,235.761240452,-1.1777385497
1,234.998417174,-1.17358983881
1,234.426442527,-1.17106509436
1,233.854589421,-1.16817323056
1,233.092306526,-1.16431351545
1,232.33023696,-1.16022941642
1,231.758823701,-1.1577280476
1,230.997123092,-1.15385213068
1,230.235631104,-1.15001734481
1,229.474345971,-1.14592990162
1,228.90351694,-1.14343646886
1,228.332802607,-1.14059924988
1,227.762202399,-1.13741247878
